language,collection,input_id_count,cleaned_id_count,missing_id_count
BN,100 HADITH,101,99,2
BN,40 HADITH,42,0,42
BN,BUKHARI,7563,4380,3183
BN,BULUGUL MARAM,1568,1212,356
BN,DAWUD,5274,4278,996
BN,DHAIF HADIS SIRIJ,102,53,49
BN,LULUWAL MARJAN,1907,1853,54
BN,MAJAH,4342,4090,252
BN,MISHKATUL MASABIH,6295,3935,2360
BN,MUSLIM,7548,5485,2063
BN,MUWATTA MALIK,1830,1739,91
BN,NASAI,5758,3014,2744
BN,RIYADUS SALIHIN,1905,1743,162
BN,SILSILA SAHIHA,60,56,4
BN,TARGIB WATTAHRIB,200,177,23
BN,TIRMIDHI,3956,3728,228
BN,UPODESH,234,200,34
EN,BUKHARI,7563,1557,6006
EN,DAWUD,5274,1012,4262
EN,MAJAH,4341,952,3389
EN,MUSLIM,7558,3711,3847
EN,NASAI,5758,2464,3294
EN,TIRMIDHI,3956,1953,2003
UR,BUKHARI,7558,5658,1900
UR,DAWUD,5268,0,5268
UR,MAJAH,4331,1902,2429
UR,MUSLIM,7564,5103,2461
UR,NASAI,5760,1509,4251
UR,TIRMIDHI,3954,1,3953
