language,collection,input_file,target_file,output_file,sheet_name,original_rows,kept_rows,deleted_rows,parse_failures,success_no_rows,duplicate_keyword_rows,blocked_response_rows,wrong_language_rows
BN,100 HADITH,[V1] 100-HADITH-BANGLA.xlsx,BN_100 HADITH_MARGE (9-6-2026)_.xlsx,BN_100 HADITH_MARGE (9-6-2026)_.xlsx,Results,101,99,2,0,0,0,2,0
BN,40 HADITH,[V1] 40-HADITH-BANGLA.xlsx,BN_40 HADITH_MARGE(9-6-2026).xlsx,BN_40 HADITH_MARGE(9-6-2026).xlsx,Results,42,0,42,42,0,0,0,0
BN,BUKHARI,[V1] BUKHARI- (TAWHEED)-BANGLA.xlsx,BN_BUKHARI_MARGE (8-6-2026).xlsx,BN_BUKHARI_MARGE (8-6-2026).xlsx,merged_output.csv,4440,4192,248,0,94,18,127,9
BN,BULUGUL MARAM,[V1] BULUGH AL MARAM-(TAWHEED)-BANGLA.xlsx,BN_ BULUGUL MARAM_MARGE (9-6-2026).xlsx,BN_ BULUGUL MARAM_MARGE (9-6-2026).xlsx,Results,1568,1212,356,0,38,0,316,2
BN,DAWUD,[V1] DAWUD-(ALBANY)-BANGLA_.xlsx,BN_DAWUD_MARGE (11-6-2026).xlsx,BN_DAWUD_MARGE (11-6-2026).xlsx,Results,5294,4278,1016,0,95,18,899,4
BN,DHAIF HADIS SIRIJ,[V1] DHAIF-HADIS-SIRIJ-BANGLA.xlsx,BN_DHAIF HADIS SIRIJ_MARGE (9-6-2026)_.xlsx,BN_DHAIF HADIS SIRIJ_MARGE (9-6-2026)_.xlsx,Results,102,53,49,0,0,0,49,0
BN,LULUWAL MARJAN,[V1] LULUWAL MARJAN-BANGLA.xlsx,BN_LULUWAL MARJAN_MARGE (9-6-2026)_.xlsx,BN_LULUWAL MARJAN_MARGE (9-6-2026)_.xlsx,Results,1906,1853,53,0,0,0,52,1
BN,MAJAH,[V1] MAJAH-(TAWHEED)-BANGLA.xlsx,BN_MAJAH_MARGE (11-6-2026).xlsx,BN_MAJAH_MARGE (11-6-2026).xlsx,Results,4302,4090,212,0,57,0,151,4
BN,MISHKATUL MASABIH,[V1] MISKATUL MASABIH-BANGLA.xlsx,BN_MISHKATUL MASABIH_MARGE (8-6-2026).xlsx,BN_MISHKATUL MASABIH_MARGE (8-6-2026).xlsx,Results,6293,3935,2358,0,49,0,2302,7
BN,MUSLIM,[V1] MUSLIM-(HADITH ACADEMY)-BANGLA.xlsx,BN_MUSLIM_MARGE (8-6-2026).xlsx,BN_MUSLIM_MARGE (8-6-2026).xlsx,Results,7526,5485,2041,0,0,0,2024,17
BN,MUWATTA MALIK,[V1] MUWATTA-MALIK-BANGLA.xlsx,BN_MUWATTA MALIK_MARGE (8-6-2026).xlsx,BN_MUWATTA MALIK_MARGE (8-6-2026).xlsx,Results,1830,1739,91,0,0,0,91,0
BN,NASAI,[V1] NASAI-(HADITH ACADEMY)-BANGLA.xlsx,BN_NASAI_MARGE (11-6-2026).xlsx,BN_NASAI_MARGE (11-6-2026).xlsx,Results,3280,3014,266,0,75,0,190,1
BN,RIYADUS SALIHIN,[V1] RIYAZUS SALEHIN-(HBD)-BANGLA.xlsx,BN_RIYADUS SALIHIN_MARGE (11-6-2026).xlsx,BN_RIYADUS SALIHIN_MARGE (11-6-2026).xlsx,Results,1905,1743,162,0,34,0,125,3
BN,SILSILA SAHIHA,[V1] SILSILA-SAHIHA-BANGLA.xlsx,BN_SILSILA SAHIHA_MARGE (11-6-2026).xlsx,BN_SILSILA SAHIHA_MARGE (11-6-2026).xlsx,Results,60,56,4,0,0,0,4,0
BN,TARGIB WATTAHRIB,[V1] TARGIB WATTAHRIB-BANGLA.xlsx,BN_TARGIB WATTAHRIB_MARGE (11-6-2026)_.xlsx,BN_TARGIB WATTAHRIB_MARGE (11-6-2026)_.xlsx,Results,200,177,23,0,0,0,23,0
BN,TIRMIDHI,[V1] TIRMIDHI-(MADANI)-BANGLA.xlsx,BN_TIRMIDHI_MARGE (11-6-2026).xlsx,BN_TIRMIDHI_MARGE (11-6-2026).xlsx,Results,3996,3728,268,0,95,2,168,3
BN,UPODESH,[V1] UPODESH-BANGLA.xlsx,BN_UPODESH_MARGE (8-6-2026).xlsx,BN_UPODESH_MARGE (8-6-2026).xlsx,Results,234,200,34,0,19,0,15,0
EN,BUKHARI,[V1] BUKHARI-ENGLISH_7564.xlsx,EN_BUKHARI_MARGE (8-6-2026).xlsx,EN_BUKHARI_MARGE (8-6-2026).xlsx,merged_output.csv,7563,1557,6006,0,113,0,1967,0
EN,DAWUD,[V1] DAWUD-ENGLISH_5275.xlsx,EN_DAWUD_MARGE (8-6-2026).xlsx,EN_DAWUD_MARGE (8-6-2026).xlsx,merged_output.csv,12322,1012,11310,0,77,0,829,0
EN,MAJAH,[V1] MAJAH-ENGLISH_4342.xlsx,EN_MAJAH_MARGE (8-6-2026).xlsx,EN_MAJAH_MARGE (8-6-2026).xlsx,V1 MAJAH-ENGLISH,6116,952,5164,0,38,0,1274,0
EN,MAJAH,[V1] MAJAH-ENGLISH_4342.xlsx,EN_MAJAH_MARGE (8-6-2026).xlsx,EN_MAJAH_MARGE (8-6-2026).xlsx,failed,57,0,57,0,57,0,0,0
EN,MUSLIM,[V1] MUSLIM-ENGLISH_7559.xlsx,EN_MUSLIM_MARGE (8-6-2026).xlsx,EN_MUSLIM_MARGE (8-6-2026).xlsx,V1 MUSLIM-ENGLISH,13987,3711,10276,0,57,0,2708,0
EN,MUSLIM,[V1] MUSLIM-ENGLISH_7559.xlsx,EN_MUSLIM_MARGE (8-6-2026).xlsx,EN_MUSLIM_MARGE (8-6-2026).xlsx,failed,57,0,57,0,57,0,0,0
EN,NASAI,[V1] NASAI-ENGLISH_5759.xlsx,EN_NASAI_MARGE (9-6-2026).xlsx,EN_NASAI_MARGE (9-6-2026).xlsx,Results,5739,2464,3275,0,0,0,3275,0
EN,NASAI,[V1] NASAI-ENGLISH_5759.xlsx,EN_NASAI_MARGE (9-6-2026).xlsx,EN_NASAI_MARGE (9-6-2026).xlsx,FAILED,19,0,19,0,19,0,0,0
EN,TIRMIDHI,[V1] TIRMIDHI-ENGLISH_3957.xlsx,EN_TIRMIDHI_MARGE (8-6-2026).xlsx,EN_TIRMIDHI_MARGE (8-6-2026).xlsx,Results,7409,1953,5456,0,0,0,2003,0
UR,BUKHARI,[V1] BUKHARI-URDU.xlsx,UR_BUKHARI_MARGE (21-6-2026).xlsx,UR_BUKHARI_MARGE (21-6-2026).xlsx,Results,7578,5658,1920,0,0,20,430,1470
UR,DAWUD,[V1] ABU-DAWUD-URDU.xlsx,UR_DAWUD_MARGE (9-6-2026)_.xlsx,UR_DAWUD_MARGE (9-6-2026)_.xlsx,Results,5268,0,5268,0,40,0,2303,2925
UR,MAJAH,[V1] MAJAH-URDU.xlsx,UR_MAJAH_MARGE (9-6-2026)_.xlsx,UR_MAJAH_MARGE (9-6-2026)_.xlsx,Results,2360,1902,458,0,300,0,103,55
UR,MUSLIM,[V1] MUSLIM-URDU.xlsx,UR_MUSLIM_MARGE (9-6-2026)_.xlsx,UR_MUSLIM_MARGE (9-6-2026)_.xlsx,Results,7583,5103,2480,0,0,12,977,1490
UR,NASAI,[V1] NASAI-URDU.xlsx,UR_NASAI_MARGE (9-6-2026)_.xlsx,UR_NASAI_MARGE (9-6-2026)_.xlsx,Results,3240,1509,1731,0,0,0,1454,277
UR,TIRMIDHI,[V1] TIRMIDHI-URDU.xlsx,UR_TIRMIDHI_MARGE (9-6-2026)_.xlsx,UR_TIRMIDHI_MARGE (9-6-2026)_.xlsx,Results,3954,1,3953,0,0,0,1726,2227
